,country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,cfr_pct,cfr_pct_lo,cfr_pct_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi,Country,GenomeCount
10,Egypt,EG,EGY,818,EMR,2024,116538257,10.0,8.0,12.0,12000.0,9300.0,14000.0,1.8,,,0.18,0.13,0.24,210.0,150.0,270.0,0.43,0.39,0.48,500.0,450.0,550.0,0.03,0.02,0.04,32.0,19.0,48.0,0.46,0.41,0.5,530.0,480.0,590.0,0.05,0.04,0.06,5.0,4.0,6.0,9.1,91.0,74.0,110.0,Egypt,55.0
11,France,FR,FRA,250,EUR,2024,66548536,7.8,7.4,8.1,5200.0,5000.0,5400.0,4.9,,,0.38,0.31,0.46,250.0,200.0,310.0,0.68,0.64,0.71,450.0,430.0,470.0,0.08,0.06,0.11,53.0,37.0,72.0,0.76,0.71,0.8,500.0,470.0,530.0,0.1,0.09,0.1,10.0,9.0,10.0,6.4,82.0,79.0,86.0,France,9.0
12,Germany,DE,DEU,276,EUR,2024,84552247,5.4,4.9,6.0,4600.0,4100.0,5100.0,2.6,,,0.14,0.08,0.22,120.0,65.0,190.0,0.34,0.34,0.35,290.0,280.0,300.0,0.02,0.01,0.04,18.0,8.0,32.0,0.36,0.35,0.38,310.0,290.0,320.0,0.07,0.06,0.07,7.0,6.0,7.0,5.0,92.0,84.0,100.0,Germany,2.0
13,Ghana,GH,GHA,288,AFR,2024,34427413,126.0,55.0,225.0,43000.0,19000.0,77000.0,12.0,,,15.0,6.4,28.0,5200.0,2200.0,9600.0,27.0,11.0,49.0,9300.0,3900.0,17000.0,7.0,3.1,13.0,2400.0,1100.0,4300.0,34.0,17.0,57.0,12000.0,6000.0,19000.0,0.3,0.1,0.57,30.0,10.0,57.0,58.0,46.0,26.0,100.0,Ghana,379.0
14,Guatemala,GT,GTM,320,AMR,2024,18406356,28.0,23.0,34.0,5200.0,4200.0,6300.0,9.4,,,2.7,2.0,3.4,490.0,360.0,630.0,2.2,1.9,2.5,400.0,340.0,460.0,0.44,0.28,0.65,82.0,51.0,120.0,2.6,2.3,3.0,480.0,410.0,550.0,0.09,0.07,0.12,9.0,7.0,12.0,25.0,89.0,74.0,110.0,Guatemala,22.0
15,India,IN,IND,356,SEA,2024,1450935788,187.0,160.0,218.0,2710000.0,2330000.0,3160000.0,1.4,,,2.6,2.0,3.2,37000.0,29000.0,47000.0,21.0,16.0,26.0,300000.0,233000.0,375000.0,0.37,0.22,0.55,5300.0,3200.0,8000.0,21.0,16.0,26.0,305000.0,235000.0,380000.0,0.11,0.08,0.15,11.0,8.0,15.0,172.0,92.0,79.0,110.0,India,124.0
16,Indonesia,ID,IDN,360,WPR,2024,283487922,382.0,319.0,433.0,1080000.0,905000.0,1230000.0,3.0,,,12.0,8.9,15.0,33000.0,25000.0,42000.0,41.0,35.0,48.0,118000.0,100000.0,136000.0,2.9,2.0,3.9,8100.0,5700.0,11000.0,44.0,38.0,51.0,126000.0,107000.0,145000.0,0.12,0.09,0.14,12.0,9.0,14.0,296.0,77.0,68.0,93.0,Indonesia,6.0
17,Iran (Islamic Republic of),IR,IRN,364,EMR,2024,91567739,10.0,8.5,13.0,9600.0,7800.0,12000.0,1.5,,,0.15,0.11,0.2,140.0,100.0,180.0,1.0,0.97,1.0,920.0,890.0,950.0,0.04,0.03,0.06,38.0,27.0,52.0,1.0,1.0,1.1,960.0,930.0,990.0,0.1,0.08,0.12,10.0,8.0,12.0,7.7,73.0,61.0,90.0,Iran (Islamic Republic of),23.0
18,Iraq,IQ,IRQ,368,EMR,2024,46042013,21.0,17.0,26.0,9800.0,7900.0,12000.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3,1.7,670.0,580.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3,1.7,670.0,580.0,760.0,0.07,0.05,0.09,7.0,5.0,9.0,14.0,66.0,54.0,82.0,Iraq,3.0
19,Italy,IT,ITA,380,EUR,2024,59342869,5.0,4.1,6.0,3000.0,2400.0,3600.0,5.2,,,0.26,0.14,0.41,150.0,84.0,250.0,0.51,0.5,0.51,300.0,300.0,300.0,0.05,0.03,0.08,30.0,15.0,50.0,0.56,0.53,0.59,330.0,310.0,350.0,0.11,0.09,0.14,11.0,9.0,14.0,5.0,100.0,83.0,120.0,Italy,49.0
20,Japan,JP,JPN,392,WPR,2024,123753041,9.8,8.0,12.0,12000.0,9800.0,15000.0,0.53,,,0.05,0.02,0.1,64.0,22.0,130.0,1.2,1.2,1.2,1500.0,1500.0,1500.0,0.01,0.0,0.02,13.0,4.0,27.0,1.2,1.2,1.2,1500.0,1500.0,1500.0,0.12,0.1,0.15,12.0,10.0,15.0,8.1,83.0,69.0,100.0,Japan,1697.0
21,Kazakhstan,KZ,KAZ,398,EUR,2024,20592573,45.0,36.0,54.0,9200.0,7500.0,11000.0,5.8,,,2.6,1.9,3.3,530.0,390.0,690.0,1.6,1.1,2.3,340.0,220.0,480.0,0.25,0.11,0.44,51.0,23.0,91.0,1.9,1.3,2.6,390.0,260.0,540.0,0.04,0.03,0.06,4.0,3.0,6.0,44.0,99.0,82.0,120.0,Kazakhstan,756.0
22,Kenya,KE,KEN,404,AFR,2024,56432943,207.0,109.0,339.0,117000.0,61000.0,191000.0,23.0,,,44.0,22.0,69.0,25000.0,12000.0,39000.0,29.0,14.0,49.0,16000.0,7900.0,28000.0,14.0,6.6,23.0,8000.0,3700.0,13000.0,43.0,24.0,64.0,24000.0,13000.0,36000.0,0.22,0.09,0.39,22.0,9.0,39.0,168.0,81.0,50.0,150.0,Kenya,600.0
23,Malaysia,MY,MYS,458,WPR,2024,35557672,96.0,78.0,116.0,34000.0,28000.0,41000.0,4.6,,,4.4,3.3,5.7,1600.0,1200.0,2000.0,7.2,4.5,11.0,2600.0,1600.0,3700.0,1.1,0.76,1.5,390.0,270.0,540.0,8.3,5.6,12.0,3000.0,2000.0,4100.0,0.09,0.06,0.13,9.0,6.0,13.0,74.0,77.0,64.0,94.0,Malaysia,3.0
24,Mali,ML,MLI,466,AFR,2024,24478588,51.0,31.0,97.0,12000.0,7600.0,24000.0,5.8,,,3.0,1.1,5.7,720.0,270.0,1400.0,7.3,2.9,13.0,1800.0,720.0,3300.0,0.89,0.39,1.6,220.0,95.0,390.0,8.1,3.7,14.0,2000.0,900.0,3500.0,0.18,0.06,0.37,18.0,6.0,37.0,35.0,70.0,36.0,110.0,Mali,1.0
25,Mexico,MX,MEX,484,AMR,2024,130861014,28.0,23.0,34.0,37000.0,30000.0,44000.0,12.0,,,3.4,2.5,4.4,4400.0,3300.0,5700.0,2.1,1.7,2.7,2800.0,2200.0,3500.0,0.88,0.61,1.2,1200.0,800.0,1600.0,3.0,2.5,3.6,3900.0,3200.0,4700.0,0.11,0.08,0.14,11.0,8.0,14.0,21.0,75.0,62.0,92.0,Mexico,96.0
26,Morocco,MA,MAR,504,EMR,2024,38081170,98.0,79.0,118.0,37000.0,30000.0,45000.0,1.4,,,1.4,1.0,1.8,530.0,390.0,690.0,7.2,4.1,11.0,2700.0,1600.0,4200.0,0.23,0.15,0.34,89.0,56.0,130.0,7.4,4.4,11.0,2800.0,1700.0,4300.0,0.08,0.04,0.12,8.0,4.0,12.0,87.0,89.0,74.0,110.0,Morocco,15.0
27,Mozambique,MZ,MOZ,508,AFR,2024,34631768,361.0,220.0,537.0,125000.0,76000.0,186000.0,23.0,,,85.0,49.0,131.0,29000.0,17000.0,45000.0,24.0,13.0,39.0,8500.0,4600.0,14000.0,16.0,9.4,25.0,5600.0,3200.0,8600.0,41.0,27.0,57.0,14000.0,9300.0,20000.0,0.12,0.06,0.19,12.0,6.0,19.0,308.0,85.0,57.0,140.0,Mozambique,17.0
28,Myanmar,MM,MMR,104,SEA,2024,54500093,482.0,307.0,742.0,263000.0,167000.0,404000.0,6.2,,,30.0,17.0,46.0,16000.0,9200.0,25000.0,58.0,36.0,85.0,31000.0,19000.0,46000.0,9.0,5.2,14.0,4900.0,2800.0,7600.0,67.0,41.0,94.0,36000.0,22000.0,51000.0,0.15,0.07,0.24,15.0,7.0,24.0,210.0,44.0,28.0,68.0,Myanmar,2.0
29,Netherlands (Kingdom of the),NL,NLD,528,EUR,2024,18228738,4.7,4.0,5.5,860.0,740.0,1000.0,2.8,,,0.13,0.08,0.2,24.0,14.0,37.0,0.12,0.11,0.12,21.0,21.0,22.0,0.02,0.01,0.04,4.0,2.0,7.0,0.14,0.13,0.16,26.0,23.0,29.0,0.03,0.03,0.04,3.0,3.0,4.0,4.1,87.0,75.0,100.0,Netherlands (Kingdom of the),15.0
30,New Zealand,NZ,NZL,554,WPR,2024,5213941,7.9,6.5,9.6,410.0,340.0,500.0,0.87,,,0.07,0.01,0.19,4.0,0.0,10.0,0.26,0.26,0.26,14.0,14.0,14.0,0.01,0.0,0.04,1.0,0.0,2.0,0.28,0.26,0.29,14.0,13.0,15.0,0.04,0.03,0.04,4.0,3.0,4.0,6.8,85.0,71.0,100.0,New Zealand,1.0
31,Nigeria,NG,NGA,566,AFR,2024,232679479,219.0,143.0,311.0,510000.0,333000.0,724000.0,4.8,,,11.0,6.5,16.0,25000.0,15000.0,36000.0,24.0,14.0,36.0,56000.0,33000.0,84000.0,2.5,1.5,3.7,5800.0,3600.0,8500.0,26.0,16.0,39.0,61000.0,38000.0,90000.0,0.12,0.07,0.2,12.0,7.0,20.0,173.0,79.0,56.0,120.0,Nigeria,2.0
32,Pakistan,PK,PAK,586,EMR,2024,251269166,266.0,186.0,355.0,669000.0,468000.0,893000.0,0.39,,,1.0,0.02,3.9,2600.0,56.0,9800.0,20.0,16.0,26.0,51000.0,39000.0,64000.0,0.27,0.01,1.0,690.0,15.0,2600.0,21.0,16.0,26.0,52000.0,40000.0,66000.0,0.08,0.05,0.11,8.0,5.0,11.0,198.0,74.0,56.0,110.0,Pakistan,2.0
33,Panama,PA,PAN,591,AMR,2024,4515582,63.0,51.0,76.0,2800.0,2300.0,3400.0,17.0,,,11.0,8.1,14.0,490.0,370.0,640.0,4.1,4.0,4.3,190.0,180.0,190.0,2.7,1.9,3.7,120.0,85.0,170.0,6.9,6.0,7.8,310.0,270.0,350.0,0.11,0.09,0.14,11.0,9.0,14.0,48.0,77.0,64.0,94.0,Panama,0.0
